run_id,step,profit,stockout_rate,pricing_accuracy,action_correctness,customer_satisfaction,execution_order,timestamp
continuous_simulation_20251015_102616_initial,1,0.0,0.0,0.7,0.0,3.32,1,2025-10-15 13:55:10.659702
continuous_simulation_20251015_102616_initial,1,513.0,0.0,0.85,0.5555555555555556,3.28,2,2025-10-15 14:05:10.659702
continuous_simulation_20251015_102616_initial,1,1236.0,0.0,0.85,1.0,3.22,3,2025-10-15 14:15:10.659702
continuous_simulation_20251015_102616_initial,1,2208.0,0.3333333333333333,0.85,1.0,3.14,4,2025-10-15 14:25:10.659702
continuous_simulation_20251015_102616_initial,1,3319.96,1.0,0.85,1.0,3.11,5,2025-10-15 14:35:10.659702
continuous_simulation_20251015_102616_initial,1,5398.86,0.42857142857142855,0.85,1.0,3.08,6,2025-10-15 14:45:10.659702
continuous_simulation_20251015_102616_initial,2,0.0,0.0,0.7,0.0,3.32,7,2025-10-15 14:55:10.659702
continuous_simulation_20251015_102616_initial,2,696.0,0.0,0.85,1.0,3.25,8,2025-10-15 15:05:10.659702
continuous_simulation_20251015_102616_initial,2,1929.0,0.09090909090909091,0.85,1.0,3.17,9,2025-10-15 15:15:10.659702
continuous_simulation_20251015_102616_initial,2,2968.4,0.2,0.8,1.0,3.12,10,2025-10-15 15:25:10.659702
continuous_simulation_20251015_102616_initial,2,4000.91,0.5,0.85,1.0,3.09,11,2025-10-15 15:35:10.659702
continuous_simulation_20251015_102616_initial,2,5398.86,0.42857142857142855,0.85,1.0,3.08,12,2025-10-15 15:45:10.659702
continuous_simulation_20251015_102616_initial,3,513.0,0.0,0.85,0.5555555555555556,3.28,13,2025-10-15 15:55:10.659702
continuous_simulation_20251015_102616_initial,3,1236.0,0.0,0.85,1.0,3.22,14,2025-10-15 16:05:10.659702
continuous_simulation_20251015_102616_initial,3,2208.0,0.3333333333333333,0.8,1.0,3.14,15,2025-10-15 16:15:10.659702
continuous_simulation_20251015_102616_initial,3,3319.96,1.0,0.85,1.0,3.11,16,2025-10-15 16:25:10.659702
continuous_simulation_20251015_102616_initial,3,5398.86,0.42857142857142855,0.85,1.0,3.08,17,2025-10-15 16:35:10.659702
continuous_simulation_20251015_102616_initial,4,0.0,0.0,0.85,0.0,3.32,18,2025-10-15 16:45:10.659702
